"","fecha","Casos por fecha de inicio de síntomas","Casos por fecha de toma de muestra","Casos por fecha de emisión de resultados"
"1","2020-02-14","1","0","0"
"2","2020-02-16","2","0","0"
"3","2020-02-19","1","0","0"
"4","2020-02-20","1","0","0"
"5","2020-02-22","2","0","0"
"6","2020-02-26","2","0","0"
"7","2020-02-28","2","0","0"
"8","2020-03-01","5","0","0"
"9","2020-03-02","1","0","0"
"10","2020-03-03","2","0","0"
"11","2020-03-04","1","0","0"
"12","2020-03-06","1","0","0"
"13","2020-03-07","1","0","0"
"14","2020-03-08","1","0","0"
"15","2020-03-10","3","0","0"
"16","2020-03-11","2","0","0"
"17","2020-03-12","1","0","0"
"18","2020-03-13","6","1","1"
"19","2020-03-14","4","1","0"
"20","2020-03-15","3","6","6"
"21","2020-03-16","2","0","0"
"22","2020-03-17","3","3","1"
"23","2020-03-18","5","3","3"
"24","2020-03-19","6","6","4"
"25","2020-03-20","3","3","5"
"26","2020-03-21","1","2","1"
"27","2020-03-22","1","2","3"
"28","2020-03-24","1","4","3"
"29","2020-03-25","1","1","4"
"30","2020-03-26","4","4","0"
"31","2020-03-27","5","4","6"
"32","2020-03-28","3","3","3"
"33","2020-03-29","1","1","3"
"34","2020-03-30","5","4","3"
"35","2020-03-31","7","5","6"
"36","2020-04-01","4","6","2"
"37","2020-04-02","9","6","6"
"38","2020-04-03","6","9","9"
"39","2020-04-04","8","9","2"
"40","2020-04-05","9","7","10"
"41","2020-04-06","8","5","5"
"42","2020-04-07","12","11","7"
"43","2020-04-08","34","38","40"
"44","2020-04-09","10","16","10"
"45","2020-04-10","14","15","6"
"46","2020-04-11","5","4","19"
"47","2020-04-12","10","10","9"
"48","2020-04-13","18","18","4"
"49","2020-04-14","73","73","8"
"50","2020-04-15","11","10","74"
"51","2020-04-16","18","21","19"
"52","2020-04-17","13","14","7"
"53","2020-04-18","18","10","3"
"54","2020-04-19","6","3","18"
"55","2020-04-20","40","37","13"
"56","2020-04-21","72","73","66"
"57","2020-04-22","20","30","41"
"58","2020-04-23","47","53","43"
"59","2020-04-24","62","68","12"
"60","2020-04-25","19","20","67"
"61","2020-04-26","26","14","17"
"62","2020-04-27","33","31","26"
"63","2020-04-28","44","34","21"
"64","2020-04-29","35","32","34"
"65","2020-04-30","48","53","31"
"66","2020-05-01","45","23","34"
"67","2020-05-02","32","21","6"
"68","2020-05-03","43","27","10"
"69","2020-05-04","73","50","38"
"70","2020-05-05","82","53","20"
"71","2020-05-06","71","73","42"
"72","2020-05-07","58","58","57"
"73","2020-05-08","113","109","28"
"74","2020-05-09","76","94","143"
"75","2020-05-10","83","51","49"
"76","2020-05-11","97","116","64"
"77","2020-05-12","116","132","79"
"78","2020-05-13","124","189","139"
"79","2020-05-14","108","179","175"
"80","2020-05-15","135","143","158"
"81","2020-05-16","95","117","106"
"82","2020-05-17","162","201","88"
"83","2020-05-18","228","303","155"
"84","2020-05-19","226","263","246"
"85","2020-05-20","348","486","211"
"86","2020-05-21","366","621","299"
"87","2020-05-22","400","545","426"
"88","2020-05-23","164","258","269"
"89","2020-05-24","170","219","339"
"90","2020-05-25","475","640","302"
"91","2020-05-26","448","592","259"
"92","2020-05-27","299","425","306"
"93","2020-05-28","378","443","269"
"94","2020-05-29","372","411","211"
"95","2020-05-30","173","208","299"
"96","2020-05-31","122","126","198"
"97","2020-06-01","302","407","280"
"98","2020-06-02","282","380","179"
"99","2020-06-03","317","470","265"
"100","2020-06-04","374","462","411"
"101","2020-06-05","474","633","397"
"102","2020-06-06","414","553","286"
"103","2020-06-07","292","340","318"
"104","2020-06-08","435","598","343"
"105","2020-06-09","436","726","364"
"106","2020-06-10","564","774","431"
"107","2020-06-11","410","792","218"
"108","2020-06-12","462","730","414"
"109","2020-06-13","404","529","96"
"110","2020-06-14","360","470","303"
"111","2020-06-15","725","1019","555"
"112","2020-06-16","545","948","718"
"113","2020-06-17","509","880","551"
"114","2020-06-18","482","765","814"
"115","2020-06-19","545","909","486"
"116","2020-06-20","681","780","256"
"117","2020-06-21","357","353","418"
"118","2020-06-22","787","1178","780"
"119","2020-06-23","719","1211","778"
"120","2020-06-24","648","1190","351"
"121","2020-06-25","673","1409","1037"
"122","2020-06-26","777","1368","671"
"123","2020-06-27","676","915","572"
"124","2020-06-28","513","402","466"
"125","2020-06-29","670","1015","734"
"126","2020-06-30","821","1733","984"
"127","2020-07-01","793","1408","1138"
"128","2020-07-02","694","1412","1299"
"129","2020-07-03","700","1331","1330"
"130","2020-07-04","581","905","790"
